t,k,exportVal,rca,distance,importVal,imports_norm,density,code,description
2011,540743,494.292,1.0292,0.7805,274.801,0.0024,0.21950000000000003,540743,"Fabrics, woven: containing 85% or more by weight of filaments of nylon or other polyamides, of yarns of different colours"
2011,540744,988.142,1.3847,0.775,325.942,0.0028,0.22499999999999998,540744,"Fabrics, woven: containing 85% or more by weight of filaments of nylon or other polyamides, printed"
2011,540751,164.888,0.0305,0.8314,1098.478,0.0097,0.16859999999999997,540751,"Fabrics, woven: containing 85% or more by weight of textured polyester filaments, unbleached or bleached"
2011,540752,423.348,0.0136,0.8235,75138.04,0.664,0.1765,540752,"Fabrics, woven: containing 85% or more by weight of textured polyester filaments, dyed"
2011,540753,1120.038,0.2477,0.8022,4343.435,0.0383,0.19779999999999998,540753,"Fabrics, woven: containing 85% or more by weight of textured polyester filaments, of yarns of different colours"
2011,540754,68.346,0.0092,0.8262,11189.204,0.0988,0.17379999999999995,540754,"Fabrics, woven: containing 85% or more by weight of textured polyester filaments, printed"
2011,540761,3315.643,0.12,0.8294,21186.555,0.1872,0.17059999999999997,540761,"Fabrics, woven: containing 85% or more by weight of non-textured polyester filaments"
2011,540769,784.765,0.0764,0.8024,11792.174,0.1042,0.1976,540769,"Fabrics, woven: containing less than 85% by weight of non-textured polyester filaments"
2011,540771,59.13,0.0541,0.7984,1474.366,0.013,0.2016,540771,"Fabrics, woven: containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), unbleached or bleached"
2011,540772,10643.227,2.5274,0.7733,2995.22,0.0264,0.2267,540772,"Fabrics, woven: containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), dyed"
2011,540773,404.895,0.1929,0.801,1813.333,0.016,0.19899999999999995,540773,"Fabrics, woven: containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), of yarns of different colours"
2011,540774,84.854,0.1003,0.8247,1415.042,0.0125,0.1753,540774,"Fabrics, woven: containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), printed"
2011,540781,12.162,0.0139,0.8146,964.914,0.0085,0.1854,540781,"Fabrics, woven: of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, bleached or unbleached"
2011,540782,817.72,0.2633,0.8193,4771.758,0.0421,0.18069999999999997,540782,"Fabrics, woven: of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, dyed"
2011,540783,75.372,0.0397,0.8044,947.071,0.0083,0.1956,540783,"Fabrics, woven: of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, of yarns of different colours"
2011,540784,80.82,0.1182,0.8014,1119.331,0.0098,0.1986,540784,"Fabrics, woven: of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, printed"
2011,540791,396.395,0.5071,0.8148,753.794,0.0066,0.18520000000000003,540791,"Fabrics, woven: of synthetic filament yarn, bleached or unbleached, n.e.c. in heading no. 5407"
2011,540792,32.103,0.0088,0.8255,4884.953,0.0431,0.1745,540792,"Fabrics, woven: of synthetic filament yarn, dyed, n.e.c. in heading 5407"
2011,540793,36.271,0.0164,0.8003,1811.307,0.016,0.1997,540793,"Fabrics, woven: of synthetic filament yarn, of yarns of different colours, n.e.c. in heading no. 5407"
2011,540794,397.672,0.3924,0.8177,479.302,0.0042,0.18230000000000002,540794,"Fabrics, woven: of synthetic filament yarn, printed, n.e.c. in heading no. 5407"
2011,550320,4008.354,0.1088,0.8137,21269.024,0.1879,0.18630000000000002,550320,"Fibres: synthetic staple fibres, of polyesters, not carded, combed or otherwise processed for spinning"
2011,600610,65.112,0.0466,0.8226,347.81,0.003,0.1774,600610,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of wool or fine animal hair"
2011,600621,75.065,0.0186,0.7725,380.961,0.0033,0.22750000000000004,600621,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, unbleached or bleached"
2011,600622,273.513,0.0094,0.7919,8818.183,0.0779,0.20809999999999995,600622,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, dyed"
2011,600623,11.15,0.0039,0.8066,681.916,0.006,0.19340000000000002,600623,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, of yarns of different colours"
2011,600624,853.908,0.2674,0.813,406.599,0.0035,0.18700000000000006,600624,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, printed"
2011,600631,1521.514,0.3612,0.7964,1185.082,0.0104,0.2036,600631,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, unbleached or bleached"
2011,600632,288.994,0.0128,0.8205,20550.229,0.1816,0.1795,600632,"Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, dyed"
